uid,file,id,label,field,status,source,current
dbt:Multiplayer.dbt:10287:_MP_LOBBY_SYNC_LOCAL:chinese,Multiplayer.dbt,10287,_MP_LOBBY_SYNC_LOCAL,chinese,未翻译(同原文),Local settings differ from host,Local settings differ from host
dbt:Multiplayer.dbt:10288:_MP_LOBBY_SYNC_BLOCK:chinese,Multiplayer.dbt,10288,_MP_LOBBY_SYNC_BLOCK,chinese,未翻译(同原文),Cannot start: lobby settings are still syncing.,Cannot start: lobby settings are still syncing.
dbt:Multiplayer.dbt:10289:_MP_LOBBY_BTN_SHARE_SAVE:chinese,Multiplayer.dbt,10289,_MP_LOBBY_BTN_SHARE_SAVE,chinese,未翻译(同原文),Share Save,Share Save
dbt:Multiplayer.dbt:10290:_MP_LOBBY_MIDJOIN_DISABLED:chinese,Multiplayer.dbt,10290,_MP_LOBBY_MIDJOIN_DISABLED,chinese,未翻译(同原文),Mid-game join is currently disabled (unstable).,Mid-game join is currently disabled (unstable).
dbt:Multiplayer.dbt:10291:_MP_LOBBY_SAVE_SHARE_HINT:chinese,Multiplayer.dbt,10291,_MP_LOBBY_SAVE_SHARE_HINT,chinese,未翻译(同原文),"New: with a saved game selected, the host can press 'Share Save' to send it to everyone who doesn't have it.","New: with a saved game selected, the host can press 'Share Save' to send it to everyone who doesn't have it."
dbt:Multiplayer.dbt:10292:_MP_LOBBY_NO_CLASS_ALLOWED:chinese,Multiplayer.dbt,10292,_MP_LOBBY_NO_CLASS_ALLOWED,chinese,未翻译(同原文),At least one character class must be allowed to start the game.,At least one character class must be allowed to start the game.
dbt:Multiplayer.dbt:10293:_MP_LOBBY_SAVE_DYN_HEADER:chinese,Multiplayer.dbt,10293,_MP_LOBBY_SAVE_DYN_HEADER,chinese,未翻译(同原文),Player dynasties in this save:,Player dynasties in this save:
dbt:Multiplayer.dbt:10294:_MP_LOBBY_SAVE_DYN_NONE:chinese,Multiplayer.dbt,10294,_MP_LOBBY_SAVE_DYN_NONE,chinese,未翻译(同原文),(no player dynasty info recorded in this save),(no player dynasty info recorded in this save)
dbt:Multiplayer.dbt:10295:_MP_SYS_SAVE_SELECTION_CANCELLED:chinese,Multiplayer.dbt,10295,_MP_SYS_SAVE_SELECTION_CANCELLED,chinese,未翻译(同原文),Save game selection cancelled,Save game selection cancelled
dbt:Multiplayer.dbt:10296:_MP_OVERVIEW_TITLE:chinese,Multiplayer.dbt,10296,_MP_OVERVIEW_TITLE,chinese,未翻译(同原文),Steam Multiplayer,Steam Multiplayer
